rank,id,title,upload_date,view_count,like_count,duration_min,url
1,4o1zEi2Xp6g,Фундаментальная причина беспокойств,20240516,1205,34,6.4,https://www.youtube.com/watch?v=4o1zEi2Xp6g
2,3k3nhH15le0,В сложной ситуации - пиши,20240411,1195,69,4.8,https://www.youtube.com/watch?v=3k3nhH15le0
3,O9KXxrB59LA,Что такое умение учиться,20241211,721,32,10.6,https://www.youtube.com/watch?v=O9KXxrB59LA
4,UbO3P_hTQuI,"Как начать системные изменения себя?, Вебинар",20241230,642,19,106.0,https://www.youtube.com/watch?v=UbO3P_hTQuI
5,cTMH9sR7Xzo,"Практика личного стратегирования, Вебинар",20240831,560,22,84.0,https://www.youtube.com/watch?v=cTMH9sR7Xzo
6,3DCC_bqjRzI,"Практика инвестирования и учёта времени, Вебинар",20240921,318,20,95.2,https://www.youtube.com/watch?v=3DCC_bqjRzI
7,hNJe10ZREro,Как найти баланс между работой и личной жизнью?,20240419,291,16,3.2,https://www.youtube.com/watch?v=hNJe10ZREro
8,odx-iKoG1oU,Как формировать окружение?,20240613,283,16,3.0,https://www.youtube.com/watch?v=odx-iKoG1oU
9,tUGOVPMaVoA,Простое объяснение системного мышления,20240912,283,17,4.7,https://www.youtube.com/watch?v=tUGOVPMaVoA
10,eKLU-R_58PU,Как справляться с инфопотоком,20251005,283,14,3.5,https://www.youtube.com/watch?v=eKLU-R_58PU
11,Bq05hRqu-0s,Почему проседает собранность: ИИ как дополнительный фактор в 2025 году,20251204,270,19,162.9,https://www.youtube.com/watch?v=Bq05hRqu-0s
12,UBF1gJJEvcQ,"Интервью с Антоном Буйновым/Как системное мышление помогло в бизнесе: оргпроцессы, новый продукт",20241007,266,13,92.7,https://www.youtube.com/watch?v=UBF1gJJEvcQ
13,_yHgIZkJdfU,От неуверенности к глобальным целям: создать продукт на всю страну,20240914,254,18,81.8,https://www.youtube.com/watch?v=_yHgIZkJdfU
14,8R0pRtLT8dc,Вебинар: «Где я застрял в своем развитии и что делать?»,20251026,252,12,101.3,https://www.youtube.com/watch?v=8R0pRtLT8dc
15,uwn4gSTfRQs,Деньги и время,20240329,247,14,3.5,https://www.youtube.com/watch?v=uwn4gSTfRQs
16,D8bumFAFzj8,"Счастье, успех и интересная жизнь с точки зрения системного мышления",20240502,236,16,2.3,https://www.youtube.com/watch?v=D8bumFAFzj8
17,zTQ9hwQ0Gis,"Характеристики человека-создателя, Вебинар 25.01.25",20250428,227,0,58.6,https://www.youtube.com/watch?v=zTQ9hwQ0Gis
18,T8lS1Cdr-4s,Отрывок семинара: ИИ-агенты и экзокортекс. Включение PRO-режима мышления | Вебинар,20251228,223,0,30.8,https://www.youtube.com/watch?v=T8lS1Cdr-4s
19,YRvEXw2SNcY,Собранность: что её повышает и что разрушает,20260128,220,0,103.7,https://www.youtube.com/watch?v=YRvEXw2SNcY
20,fdYW3QNJyYU,Системное мышление и психотерапия,20240929,218,9,65.5,https://www.youtube.com/watch?v=fdYW3QNJyYU
21,9eSN6-Eu1kg,Вебинар «Профессиональный ученик: как стать инженером своего саморазвития»,20250723,217,5,75.6,https://www.youtube.com/watch?v=9eSN6-Eu1kg
22,Kcmz2JqzI6w,Интервью с Александром Вяткиным. Что такое Active Inference и как оно связано с системным мышлением?,20250428,209,0,88.0,https://www.youtube.com/watch?v=Kcmz2JqzI6w
23,umZDBad966E,Опыт работы в Intellectual Work Environment (IWE): разбор практики Даниила Шипилова,20260320,209,9,92.5,https://www.youtube.com/watch?v=umZDBad966E
24,KpnISVu41ZM,Интервью с Константином и Анной Дубенко. Семейное благополучие и успех.,20241209,206,10,61.5,https://www.youtube.com/watch?v=KpnISVu41ZM
25,i-yInSlZCVs,Марафон стратегирования/Занятие - 1,20241004,196,6,102.1,https://www.youtube.com/watch?v=i-yInSlZCVs
26,A7RBnBZXSEQ,Образование в эпоху неопределенности: КТО и КАК учит нас ДУМАТЬ?,20250525,193,8,95.3,https://www.youtube.com/watch?v=A7RBnBZXSEQ
27,dRfAklWKm4M,ИИ как расширение нашего интеллекта,20240523,192,12,2.1,https://www.youtube.com/watch?v=dRfAklWKm4M
28,k2gOOUF0MUc,Образованность и профессионализм,20240509,190,14,4.5,https://www.youtube.com/watch?v=k2gOOUF0MUc
29,-9MvV5vXZfc,Как справляться с жизненными трудностями и продолжать расти/Денис Асфандияров,20250518,190,9,99.5,https://www.youtube.com/watch?v=-9MvV5vXZfc
30,DsdVbEOOjlY,"Вебинар ""Использование ИИ в проектах с большим объёмом информации - Git, Claude, FPF""",20251228,186,0,88.1,https://www.youtube.com/watch?v=DsdVbEOOjlY
